台詞,gpt command
主隊射進球門的次數為#shg1，客隊射進球門的次數為#shg2，兩隊射進球門次數的差距為#shg_diff。主隊和客隊的射門次數均為#shot1。,主客隊射進球門的次數都是0，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主客隊的射門次數都是0，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊和客隊射進球門的次數都是#shg1，射門次數也都是#shot1，兩隊在這些數據上沒有差距，#shg_diff為0。,主客隊射進球門的次數都是0，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主客隊的射門次數相同，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊和客隊在射進球門的次數方面都是#shg1次，兩隊射門次數分別為#shot1次和#shot2次，差距在2次以內。兩隊在射進球門方面的差距為#shg_diff。,主客隊射進球門的次數都是0，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多2次以下，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
雙方在射進球門的次數上都為#shg1，分別是#shg1和#shg2，可見本場比賽進攻效率較低。然而，主隊在射門次數上佔據一定優勢，其射門次數為#shot1，高於客隊的#shot2，射門差距為#shg_diff。,主客隊射進球門的次數都是0，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多3~5次，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊和客隊射進球門的次數都是#shg1，這項數據上雙方無法分出勝負，差距為#shg_diff。主隊射門次數為#shot1，比客隊的#shot2多出6次以上，主隊在進攻次數上占據了一定優勢。,主客隊射進球門的次數都是0，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主隊的射門次數比客隊多6次以上，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊#shg1次射進球門，客隊#shg2次射進球門，兩隊射進球門的次數差距為#shg_diff。主隊共有#shot1次射門，客隊共有#shot2次射門，客隊的射門次數比主隊多2次以下。,主客隊射進球門的次數都是0，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多2次以下，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1，客隊則是#shg2，雙方的射進球門次數差距為#shg_diff。再看射門次數，主隊#shot1次，而客隊#shot2次，客隊在射門方面略佔優勢。,主客隊射進球門的次數都是0，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多3~5次，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊射進球門的次數為#shg1，客隊射進球門的次數為#shg2，兩隊射進球門的次數差距為#shg_diff。客隊的射門次數為#shot2，主隊的射門次數為#shot1，客隊比主隊多射門6次以上。,主客隊射進球門的次數都是0，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，客隊的射門次數比主隊多6次以上，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
主隊和客隊射進球門的次數相同，兩隊各自射進球門#shg1次，沒有明顯差距。值得注意的是，兩隊的射門次數都為#shot1，總體上雙方的進攻效率表現得中規中矩，未能對彼此造成實質性的進攻優勢，#shg_diff在場上未顯現差距。,主客隊射進球門的次數相同，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主客隊的射門次數都是0，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
兩隊射進球門的次數皆為#shg1，射門次數也同樣為#shot1。兩隊在射進球門次數上並未拉開差距，#shg_diff為0。,主客隊射進球門的次數相同，需要提及兩隊射進球門的次數，用#shg1和#shg2來代替，兩隊的差距可以用#shg_diff來代替，主客隊的射門次數相同，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射進球門的次數不是射正的次數，請不要使用“射正”這個詞
