台詞,gpt command
截至目前，雙方在射出球門的次數上都沒有表現，#shb1和#shb2都是0。在射門次數上，雙方同樣是#shot1。總結來看，雙方在射門環節上的表現沒有差距，#shb_diff為0。,主客隊射出球門的次數都是0，需要提及兩隊射出球門的次數，用#shb1和#shb2來代替，兩隊的差距可以用#shb_diff來代替，主客隊的射門次數都是0，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射出球門的次數不是射偏的次數，請不要使用“射偏”這個詞
主隊和客隊的射出球門次數都是#shb1，射門次數同為#shot1。兩隊在射出球門上的差距是#shb_diff。,主客隊射出球門的次數都是0，需要提及兩隊射出球門的次數，用#shb1和#shb2來代替，兩隊的差距可以用#shb_diff來代替，主客隊的射門次數相同，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射出球門的次數不是射偏的次數，請不要使用“射偏”這個詞
目前比賽中，兩隊射出球門的次數都是0，分別為#shb1和#shb2。主隊的射門次數為#shot1，客隊則是#shot2，兩隊的差距不大，僅為#shb_diff。,主客隊射出球門的次數都是0，需要提及兩隊射出球門的次數，用#shb1和#shb2來代替，兩隊的差距可以用#shb_diff來代替，主隊的射門次數比客隊多2次以下，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射出球門的次數不是射偏的次數，請不要使用“射偏”這個詞
目前在射出球門的次數方面，兩隊都是0次，用#shb1和#shb2替代。兩隊在射門次數上有一定差距，主隊以#shot1次領先客隊的#shot2次，差距為#shb_diff。,主客隊射出球門的次數都是0，需要提及兩隊射出球門的次數，用#shb1和#shb2來代替，兩隊的差距可以用#shb_diff來代替，主隊的射門次數比客隊多3~5次，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射出球門的次數不是射偏的次數，請不要使用“射偏”這個詞
主隊和客隊射出球門的次數均為#shb1。主隊的射門次數為#shot1，客隊的射門次數為#shot2，主隊在射門次數上領先超過6次，兩隊射門次數的差距為#shb_diff。,主客隊射出球門的次數都是0，需要提及兩隊射出球門的次數，用#shb1和#shb2來代替，兩隊的差距可以用#shb_diff來代替，主隊的射門次數比客隊多6次以上，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射出球門的次數不是射偏的次數，請不要使用“射偏”這個詞
主隊和客隊在射出球門次數上均為#shb1，毫無差別。而在總射門次數上，主隊為#shot1，客隊為#shot2，兩隊射門的差距僅在微小範圍內，差距為#shb_diff。,主客隊射出球門的次數都是0，需要提及兩隊射出球門的次數，用#shb1和#shb2來代替，兩隊的差距可以用#shb_diff來代替，客隊的射門次數比主隊多2次以下，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射出球門的次數不是射偏的次數，請不要使用“射偏”這個詞
主客隊射出球門的次數都是0，主隊的總射門次數為#shot1，客隊的總射門次數為#shot2。兩隊在射出球門上的差距為#shb_diff。,主客隊射出球門的次數都是0，需要提及兩隊射出球門的次數，用#shb1和#shb2來代替，兩隊的差距可以用#shb_diff來代替，客隊的射門次數比主隊多3~5次，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射出球門的次數不是射偏的次數，請不要使用“射偏”這個詞
主隊和客隊在射出球門的次數上都是#shb1。客隊射門次數#shot2比主隊的#shot1多6次以上，兩隊射出球門的整體差距是#shb_diff。,主客隊射出球門的次數都是0，需要提及兩隊射出球門的次數，用#shb1和#shb2來代替，兩隊的差距可以用#shb_diff來代替，客隊的射門次數比主隊多6次以上，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射出球門的次數不是射偏的次數，請不要使用“射偏”這個詞
場上統計顯示，雙方射出球門的次數相同，分別為#shb1次，各自的差距是#shb_diff。兩隊的射門次數都為#shot1次，差距並不存在。,主客隊射出球門的次數相同，需要提及兩隊射出球門的次數，用#shb1和#shb2來代替，兩隊的差距可以用#shb_diff來代替，主客隊的射門次數都是0，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射出球門的次數不是射偏的次數，請不要使用“射偏”這個詞
雙方射出球門的次數相同，都是#shb1次，這表明兩隊在效率上的相近。兩隊都是#shot1次射門。這場比賽在進攻上的努力沒有明顯的差距，射出球門次數的差距為#shb_diff。,主客隊射出球門的次數相同，需要提及兩隊射出球門的次數，用#shb1和#shb2來代替，兩隊的差距可以用#shb_diff來代替，主客隊的射門次數相同，需要提及兩隊的射門次數，用#shot1和#shot2來代替，如果次數相同可以用其中一個表示就好，另外，射出球門的次數不是射偏的次數，請不要使用“射偏”這個詞
